campaign,date,impressions,adClicks,adCost,CPC,CTR,costPerConversion,newVisits,visits,bounces,organicSearches
(not set),20130316,0,0,0,0,0,0,6764,11158,3050,4476
(not set),20130317,0,0,0,0,0,0,6379,10716,2722,4214
(not set),20130318,0,0,0,0,0,0,6706,11519,2796,5108
(not set),20130319,0,0,0,0,0,0,7256,11831,2714,5247
(not set),20130320,0,0,0,0,0,0,6674,11044,2656,4977
(not set),20130321,0,0,0,0,0,0,6444,10363,2328,4362
(not set),20130322,0,0,0,0,0,0,8691,14823,2583,5928
(not set),20130323,0,0,0,0,0,0,7887,13265,2747,6272
(not set),20130324,0,0,0,0,0,0,6510,11109,2287,5165
(not set),20130325,0,0,0,0,0,0,17635,26777,4091,5493
(not set),20130326,0,0,0,0,0,0,9141,16692,2960,4419
(not set),20130327,0,0,0,0,0,0,8436,14757,2583,3903
(not set),20130328,0,0,0,0,0,0,7805,12839,2386,3829
(not set),20130329,0,0,0,0,0,0,6272,11175,2435,3214
(not set),20130330,0,0,0,0,0,0,6420,10912,2656,3657
(not set),20130331,0,0,0,0,0,0,5936,9756,2000,3107
(not set),20130401,0,0,0,0,0,0,4501,8059,1681,3091
(not set),20130402,0,0,0,0,0,0,4526,8174,1886,3148
(not set),20130403,0,0,0,0,0,0,4050,7666,1951,2845
(not set),20130404,0,0,0,0,0,0,5190,8568,2140,3033
(not set),20130405,0,0,0,0,0,0,4788,8035,1828,2558
(not set),20130406,0,0,0,0,0,0,4517,7551,2017,2402
(not set),20130407,0,0,0,0,0,0,4271,7280,1951,2304
(not set),20130408,0,0,0,0,0,0,4558,7871,2050,2410
(not set),20130409,0,0,0,0,0,0,4632,8141,2214,2484
(not set),20130410,0,0,0,0,0,0,4886,8092,2115,2419
(not set),20130411,0,0,0,0,0,0,4362,7338,1869,2263
(not set),20130412,0,0,0,0,0,0,4026,6797,1984,1902
(not set),20130413,0,0,0,0,0,0,3730,5739,1640,1746
(not set),20130414,0,0,0,0,0,0,3591,5739,1804,1435
(not set),20130415,0,0,0,0,0,0,3648,5977,1738,1673
(not set),20130416,0,0,0,0,0,0,3468,6075,1369,2058
(not set),20130417,0,0,0,0,0,0,3419,6354,1222,2427
(not set),20130418,0,0,0,0,0,0,3599,6379,1295,2697
(not set),20130419,0,0,0,0,0,0,3091,5616,1230,2386
(not set),20130420,0,0,0,0,0,0,3296,5460,1205,2074
(not set),20130421,0,0,0,0,0,0,2911,4960,918,1984
(not set),20130422,0,0,0,0,0,0,3386,6149,1181,2681
(not set),20130423,0,0,0,0,0,0,3025,5723,1353,2525
(not set),20130424,0,0,0,0,0,0,3001,5682,1197,2328
(not set),20130425,0,0,0,0,0,0,3288,5837,1287,2591
(not set),20130426,0,0,0,0,0,0,5190,8289,3460,2123
(not set),20130427,0,0,0,0,0,0,3083,5608,1632,1746
(not set),20130428,0,0,0,0,0,0,2878,4977,1222,1910
(not set),20130429,0,0,0,0,0,0,3230,5698,1369,2255
(not set),20130430,0,0,0,0,0,0,2902,5345,1345,2123
(not set),20130501,0,0,0,0,0,0,2951,5116,1230,1869
(not set),20130502,0,0,0,0,0,0,2443,4796,1090,2025
(not set),20130503,0,0,0,0,0,0,3583,6444,2017,2304
(not set),20130504,0,0,0,0,0,0,3025,5116,1353,1853
(not set),20130505,0,0,0,0,0,0,2542,4731,1246,1664
(not set),20130506,0,0,0,0,0,0,2747,4944,1394,1877
(not set),20130507,0,0,0,0,0,0,3189,5427,1131,2123
(not set),20130508,0,0,0,0,0,0,2632,4977,1148,2181
(not set),20130509,0,0,0,0,0,0,2599,4878,1205,2025
(not set),20130510,0,0,0,0,0,0,2673,4772,1230,1959
(not set),20130511,0,0,0,0,0,0,2402,4230,1058,1681
(not set),20130512,0,0,0,0,0,0,2509,4485,1107,1755
(not set),20130513,0,0,0,0,0,0,2960,5018,1049,2066
(not set),20130514,0,0,0,0,0,0,2902,5059,1353,2091
(not set),20130515,0,0,0,0,0,0,2501,4567,1033,1763
(not set),20130516,0,0,0,0,0,0,2435,4517,1041,1869
(not set),20130517,0,0,0,0,0,0,2451,4403,967,1935
(not set),20130518,0,0,0,0,0,0,2230,4173,795,1599
(not set),20130519,0,0,0,0,0,0,2255,4132,885,1582
(not set),20130520,0,0,0,0,0,0,2796,5018,1131,2312
(not set),20130521,0,0,0,0,0,0,2460,4411,951,1836
(not set),20130522,0,0,0,0,0,0,2533,4722,1123,2214
(not set),20130523,0,0,0,0,0,0,2460,4567,935,2009
(not set),20130524,0,0,0,0,0,0,2525,4419,787,2123
(not set),20130525,0,0,0,0,0,0,2419,4001,828,1820
(not set),20130526,0,0,0,0,0,0,2312,3878,861,1779
(not set),20130527,0,0,0,0,0,0,2550,4427,910,2271
(not set),20130528,0,0,0,0,0,0,2943,5018,1025,2492
(not set),20130529,0,0,0,0,0,0,2681,4813,935,2164
(not set),20130530,0,0,0,0,0,0,3140,5264,1017,2583
(not set),20130531,0,0,0,0,0,0,2804,5059,869,2197
(not set),20130601,0,0,0,0,0,0,2410,4296,779,2025
(not set),20130602,0,0,0,0,0,0,2976,4755,738,2148
(not set),20130603,0,0,0,0,0,0,3296,5403,877,2968
(not set),20130604,0,0,0,0,0,0,3042,5264,779,3091
(not set),20130605,0,0,0,0,0,0,2902,4796,992,2730
(not set),20130606,0,0,0,0,0,0,2648,4813,754,2788
(not set),20130607,0,0,0,0,0,0,3525,5919,1386,3476
(not set),20130608,0,0,0,0,0,0,2976,5075,820,2706
(not set),20130609,0,0,0,0,0,0,2878,4862,754,2591
(not set),20130610,0,0,0,0,0,0,4255,7305,1886,4026
(not set),20130611,0,0,0,0,0,0,14938,22907,5673,4485
(not set),20130612,0,0,0,0,0,0,15914,26637,7477,4903
(not set),20130613,0,0,0,0,0,0,14512,25768,5837,4854
(not set),20130614,0,0,0,0,0,0,14897,26563,5993,5026
(not set),20130615,0,0,0,0,0,0,8256,15545,4583,5354
(not set),20130616,0,0,0,0,0,0,7395,13429,4558,4862
(not set),20130617,0,0,0,0,0,0,7879,14126,5009,5928
(not set),20130618,0,0,0,0,0,0,7772,13315,5009,5460
(not set),20130619,0,0,0,0,0,0,10486,18947,5985,5575
(not set),20130620,0,0,0,0,0,0,10355,17070,6887,5477
(not set),20130621,0,0,0,0,0,0,9765,17258,6174,5059
(not set),20130622,0,0,0,0,0,0,9141,15561,6182,4936
(not set),20130623,0,0,0,0,0,0,8527,13929,5411,5075
(not set),20130624,0,0,0,0,0,0,9551,14889,6141,5739
(not set),20130625,0,0,0,0,0,0,8543,13888,5354,5452
(not set),20130626,0,0,0,0,0,0,10863,19275,6879,5444
(not set),20130627,0,0,0,0,0,0,8420,14725,6059,5509
(not set),20130628,0,0,0,0,0,0,8100,13724,5673,5460
(not set),20130629,0,0,0,0,0,0,7887,12732,5690,4772
(not set),20130630,0,0,0,0,0,0,7608,12077,5067,4411
(not set),20130701,0,0,0,0,0,0,9469,14782,6592,5542
(not set),20130702,0,0,0,0,0,0,9068,14700,6346,5337
(not set),20130703,0,0,0,0,0,0,7912,13298,5837,5108
(not set),20130704,0,0,0,0,0,0,7026,11724,4870,4862
(not set),20130705,0,0,0,0,0,0,6936,11191,4501,4772
(not set),20130706,0,0,0,0,0,0,7215,11240,4870,4534
(not set),20130707,0,0,0,0,0,0,5854,9863,3640,4337
(not set),20130708,0,0,0,0,0,0,6329,10863,4378,4968
(not set),20130709,0,0,0,0,0,0,7461,11790,5165,4845
(not set),20130710,0,0,0,0,0,0,7157,11486,4870,4968
(not set),20130711,0,0,0,0,0,0,6247,10404,4239,4534
(not set),20130712,0,0,0,0,0,0,4419,7698,2509,3484
(not set),20130713,0,0,0,0,0,0,4452,7403,2378,3394
(not set),20130714,0,0,0,0,0,0,4378,7485,2665,3165
(not set),20130715,0,0,0,0,0,0,4608,8215,2615,3796
(not set),20130716,0,0,0,0,0,0,5313,9412,3214,4657
(not set),20130717,0,0,0,0,0,0,6297,10863,4165,4444
(not set),20130718,0,0,0,0,0,0,5870,10281,4132,4517
(not set),20130719,0,0,0,0,0,0,8338,13265,5001,4140
(not set),20130720,0,0,0,0,0,0,6534,10314,4493,3788
(not set),20130721,0,0,0,0,0,0,5903,9469,3812,3566
(not set),20130722,0,0,0,0,0,0,5600,9404,3386,4165
(not set),20130723,0,0,0,0,0,0,6280,10330,4034,4567
(not set),20130724,0,0,0,0,0,0,6100,10183,3763,4911
(not set),20130725,0,0,0,0,0,0,5468,9232,2894,4075
(not set),20130726,0,0,0,0,0,0,5108,8723,3370,3591
(not set),20130727,0,0,0,0,0,0,4690,8166,3001,3493
(not set),20130728,0,0,0,0,0,0,4665,7961,2615,3419
(not set),20130729,0,0,0,0,0,0,4468,7854,2583,3804
(not set),20130730,0,0,0,0,0,0,4370,7690,2378,3853
(not set),20130731,0,0,0,0,0,0,4255,7412,2484,3780
(not set),20130801,0,0,0,0,0,0,2886,5509,1246,2673
(not set),20130802,0,0,0,0,0,0,3107,5690,1328,2886
(not set),20130803,0,0,0,0,0,0,2968,5419,1271,2722
(not set),20130804,0,0,0,0,0,0,3165,5378,1345,2624
(not set),20130805,0,0,0,0,0,0,3402,5985,1320,3288
(not set),20130806,0,0,0,0,0,0,3435,5608,1295,3206
(not set),20130807,0,0,0,0,0,0,3033,5624,1427,2763
(not set),20130808,0,0,0,0,0,0,3156,5591,1271,2853
(not set),20130809,0,0,0,0,0,0,2992,5477,1353,2951
(not set),20130810,0,0,0,0,0,0,3173,5206,1123,2820
(not set),20130811,0,0,0,0,0,0,3017,5034,951,2624
(not set),20130812,0,0,0,0,0,0,3140,5231,1033,2902
(not set),20130813,0,0,0,0,0,0,3386,6100,1304,3460
(not set),20130814,0,0,0,0,0,0,3345,5903,1222,3132
(not set),20130815,0,0,0,0,0,0,3230,5895,1230,3402
(not set),20130816,0,0,0,0,0,0,3091,5444,1025,2992
(not set),20130817,0,0,0,0,0,0,2878,5132,1000,2943
(not set),20130818,0,0,0,0,0,0,3001,5157,926,2886
(not set),20130819,0,0,0,0,0,0,3501,5985,1164,3402
(not set),20130820,0,0,0,0,0,0,3230,5739,1074,3534
(not set),20130821,0,0,0,0,0,0,3206,5895,1148,3296
(not set),20130822,0,0,0,0,0,0,3468,5969,1172,3337
(not set),20130823,0,0,0,0,0,0,3222,5657,1049,3386
(not set),20130824,0,0,0,0,0,0,3074,5214,976,3066
(not set),20130825,0,0,0,0,0,0,2919,4993,738,2894
(not set),20130826,0,0,0,0,0,0,3468,6141,1033,3411
(not set),20130827,0,0,0,0,0,0,3132,5493,992,3107
(not set),20130828,0,0,0,0,0,0,3353,5665,1189,3263
(not set),20130829,0,0,0,0,0,0,3033,5386,976,3033
(not set),20130830,0,0,0,0,0,0,2722,4985,918,3074
(not set),20130831,0,0,0,0,0,0,2673,4673,787,2648
(not set),20130901,0,0,0,0,0,0,2427,4271,705,2345
(not set),20130902,0,0,0,0,0,0,3460,6092,1722,2853
(not set),20130903,0,0,0,0,0,0,3394,5895,1320,2984
(not set),20130904,0,0,0,0,0,0,3115,5591,1099,2951
(not set),20130905,0,0,0,0,0,0,2886,5231,992,2829
(not set),20130906,0,0,0,0,0,0,2812,4993,910,2804
(not set),20130907,0,0,0,0,0,0,4624,6764,2648,4731
(not set),20130908,0,0,0,0,0,0,2853,4706,943,2730
(not set),20130909,0,0,0,0,0,0,6952,11380,2189,3689
(not set),20130910,0,0,0,0,0,0,6346,11404,2886,4058
(not set),20130911,0,0,0,0,0,0,4813,8715,1877,3935
(not set),20130912,0,0,0,0,0,0,5977,10798,2091,4189
(not set),20130913,0,0,0,0,0,0,4099,7600,1517,3771
(not set),20130914,0,0,0,0,0,0,3763,6813,1131,3493
(not set),20130915,0,0,0,0,0,0,3419,6018,1074,3132
(not set),20130916,0,0,0,0,0,0,8026,13134,2796,3632
(not set),20130917,0,0,0,0,0,0,4263,7715,1599,3935
(not set),20130918,0,0,0,0,0,0,4026,7297,1722,3616
(not set),20130919,0,0,0,0,0,0,3566,6403,1189,3591
(not set),20130920,0,0,0,0,0,0,3452,5993,1312,2829
(not set),20130921,0,0,0,0,0,0,3074,5116,853,2804
(not set),20130922,0,0,0,0,0,0,2935,4985,844,2779
(not set),20130923,0,0,0,0,0,0,5395,9904,2099,3591
(not set),20130924,0,0,0,0,0,0,3862,6969,1394,3542
(not set),20130925,0,0,0,0,0,0,3378,5985,1263,3189
(not set),20130926,0,0,0,0,0,0,4042,7526,2082,3165
(not set),20130927,0,0,0,0,0,0,3353,5837,1263,2951
(not set),20130928,0,0,0,0,0,0,4599,7780,1869,2968
(not set),20130929,0,0,0,0,0,0,3320,5559,1000,2689
(not set),20130930,0,0,0,0,0,0,3173,5575,1066,3247
(not set),20131001,0,0,0,0,0,0,2902,5198,877,2976
(not set),20131002,0,0,0,0,0,0,2804,5157,746,3148
(not set),20131003,0,0,0,0,0,0,2804,5075,902,3099
(not set),20131004,0,0,0,0,0,0,2796,4886,1107,2870
(not set),20131005,0,0,0,0,0,0,2558,4558,795,2911
(not set),20131006,0,0,0,0,0,0,2517,4263,779,2509
(not set),20131007,0,0,0,0,0,0,3050,5460,1066,3320
(not set),20131008,0,0,0,0,0,0,3206,5288,1033,3148
(not set),20131009,0,0,0,0,0,0,3148,5460,992,3361
(not set),20131010,0,0,0,0,0,0,3025,5559,918,3165
(not set),20131011,0,0,0,0,0,0,2927,5059,902,3173
(not set),20131012,0,0,0,0,0,0,2861,4985,844,2968
(not set),20131013,0,0,0,0,0,0,2771,4608,738,2919
(not set),20131014,0,0,0,0,0,0,3378,5895,1033,3517
(not set),20131015,0,0,0,0,0,0,3107,5534,992,3230
(not set),20131016,0,0,0,0,0,0,2533,4165,574,2115
(not set),20131017,0,0,0,0,0,0,2009,3320,689,1500
(not set),20131018,0,0,0,0,0,0,1648,2968,467,1254
(not set),20131019,0,0,0,0,0,0,1459,2369,426,1164
(not set),20131020,0,0,0,0,0,0,1714,2902,418,1361
(not set),20131021,0,0,0,0,0,0,4435,7567,1008,3148
(not set),20131022,0,0,0,0,0,0,7805,13069,1189,5124
(not set),20131023,0,0,0,0,0,0,5583,9305,836,3345
(not set),20131024,0,0,0,0,0,0,4763,7871,1615,3189
(not set),20131025,0,0,0,0,0,0,4329,6854,877,2386
(not set),20131026,0,0,0,0,0,0,3944,6321,648,2279
(not set),20131027,0,0,0,0,0,0,3370,5739,549,2066
(not set),20131028,0,0,0,0,0,0,4919,7518,885,3534
(not set),20131029,0,0,0,0,0,0,4239,7608,935,3583
(not set),20131030,0,0,0,0,0,0,4050,7034,853,3460
(not set),20131031,0,0,0,0,0,0,3476,6059,861,2820
(not set),20131101,0,0,0,0,0,0,3304,5575,795,2722
(not set),20131102,0,0,0,0,0,0,3042,5567,762,2583
(not set),20131103,0,0,0,0,0,0,2689,4673,590,2435
(not set),20131104,0,0,0,0,0,0,3074,5280,762,2550
(not set),20131105,0,0,0,0,0,0,3370,5583,787,2714
(not set),20131106,0,0,0,0,0,0,3386,5673,877,2796
(not set),20131107,0,0,0,0,0,0,5419,8436,1131,2615
(not set),20131108,0,0,0,0,0,0,4198,6821,844,2714
(not set),20131109,0,0,0,0,0,0,3402,5559,836,2542
(not set),20131110,0,0,0,0,0,0,2812,5042,705,2287
(not set),20131111,0,0,0,0,0,0,3468,5985,853,2755
(not set),20131112,0,0,0,0,0,0,3419,5862,828,2755
(not set),20131113,0,0,0,0,0,0,4468,7608,877,2820
(not set),20131114,0,0,0,0,0,0,3566,6305,869,2796
(not set),20131115,0,0,0,0,0,0,3755,6190,943,2706
(not set),20131116,0,0,0,0,0,0,3378,5690,762,2656
(not set),20131117,0,0,0,0,0,0,2984,5075,590,2566
(not set),20131118,0,0,0,0,0,0,7453,11437,1131,3419
(not set),20131119,0,0,0,0,0,0,4657,7862,984,3189
(not set),20131120,0,0,0,0,0,0,4591,7838,1008,3247
(not set),20131121,0,0,0,0,0,0,4755,8051,1099,3509
(not set),20131122,0,0,0,0,0,0,3993,7034,1189,3091
(not set),20131123,0,0,0,0,0,0,4189,7026,844,3050
(not set),20131124,0,0,0,0,0,0,3894,7182,877,2820
(not set),20131125,0,0,0,0,0,0,3698,6764,1115,3214
(not set),20131126,0,0,0,0,0,0,17094,25588,3821,10273
(not set),20131127,0,0,0,0,0,0,31376,47495,3107,24284
(not set),20131128,0,0,0,0,0,0,25162,39911,3050,21431
(not set),20131129,0,0,0,0,0,0,17742,28826,2320,16135
(not set),20131130,0,0,0,0,0,0,21275,31819,7436,12806
(not set),20131201,0,0,0,0,0,0,8510,14405,2427,6485
(not set),20131202,0,0,0,0,0,0,8133,14462,2419,7625
(not set),20131203,0,0,0,0,0,0,8969,14618,3107,7461
(not set),20131204,0,0,0,0,0,0,6042,11134,1894,6075
(not set),20131205,0,0,0,0,0,0,5288,9404,1804,4952
(not set),20131206,0,0,0,0,0,0,6952,12011,3197,5583
(not set),20131207,0,0,0,0,0,0,4903,8977,2033,4722
(not set),20131208,0,0,0,0,0,0,4870,8354,1550,4181
(not set),20131209,0,0,0,0,0,0,5050,8781,1509,4632
(not set),20131210,0,0,0,0,0,0,4616,8289,1451,4230
(not set),20131211,0,0,0,0,0,0,5641,9486,1394,4903
(not set),20131212,0,0,0,0,0,0,5116,9150,1049,4862
(not set),20131213,0,0,0,0,0,0,4460,8174,1156,4575
(not set),20131214,0,0,0,0,0,0,4821,8125,1099,4485
(not set),20131215,0,0,0,0,0,0,4444,8125,1099,4140
(not set),20131216,0,0,0,0,0,0,4534,8133,1017,4632
(not set),20131217,0,0,0,0,0,0,3968,7321,1131,4189
(not set),20131218,0,0,0,0,0,0,3525,6977,935,3829
(not set),20131219,0,0,0,0,0,0,3755,6723,1148,3550
(not set),20131220,0,0,0,0,0,0,3378,6157,926,3419
(not set),20131221,0,0,0,0,0,0,2919,5411,697,2976
(not set),20131222,0,0,0,0,0,0,2845,5354,705,2968
(not set),20131223,0,0,0,0,0,0,5239,8535,3091,3542
(not set),20131224,0,0,0,0,0,0,3780,6739,1427,3730
(not set),20131225,0,0,0,0,0,0,3230,5936,992,3206
(not set),20131226,0,0,0,0,0,0,2878,5255,943,3156
(not set),20131227,0,0,0,0,0,0,3517,6026,1689,3099
(not set),20131228,0,0,0,0,0,0,2558,4731,885,2599
(not set),20131229,0,0,0,0,0,0,2345,4304,598,2369
(not set),20131230,0,0,0,0,0,0,2484,4386,795,2574
(not set),20131231,0,0,0,0,0,0,2164,3845,558,2140
(not set),20140101,0,0,0,0,0,0,2730,4649,672,2550
(not set),20140102,0,0,0,0,0,0,3591,6239,894,3837
(not set),20140103,0,0,0,0,0,0,3681,6239,1017,3755
(not set),20140104,0,0,0,0,0,0,3370,5772,853,3394
(not set),20140105,0,0,0,0,0,0,3378,5854,721,3238
(not set),20140106,0,0,0,0,0,0,3919,6920,1197,4099
(not set),20140107,0,0,0,0,0,0,3985,7026,1131,4386
(not set),20140108,0,0,0,0,0,0,3624,6501,779,3894
(not set),20140109,0,0,0,0,0,0,4058,6944,1008,4198
(not set),20140110,0,0,0,0,0,0,3632,6510,1140,3665
(not set),20140111,0,0,0,0,0,0,3115,5870,1082,3411
(not set),20140112,0,0,0,0,0,0,3050,5796,730,3591
(not set),20140113,0,0,0,0,0,0,3878,6665,853,3960
(not set),20140114,0,0,0,0,0,0,3657,6616,951,4009
(not set),20140115,0,0,0,0,0,0,4067,7215,1017,3952
(not set),20140116,0,0,0,0,0,0,3804,6805,1000,3853
(not set),20140117,0,0,0,0,0,0,4001,6772,885,3870
(not set),20140118,0,0,0,0,0,0,4173,7182,1238,3804
(not set),20140119,0,0,0,0,0,0,3460,6313,951,3509
(not set),20140120,0,0,0,0,0,0,4312,7346,885,4640
(not set),20140121,0,0,0,0,0,0,4222,7215,984,4353
(not set),20140122,0,0,0,0,0,0,4919,8297,1066,4435
(not set),20140123,0,0,0,0,0,0,4091,7280,951,4222
(not set),20140124,0,0,0,0,0,0,4050,7182,1090,4181
(not set),20140125,0,0,0,0,0,0,4591,7559,1205,4403
(not set),20140126,0,0,0,0,0,0,3714,6624,730,3919
(not set),20140127,0,0,0,0,0,0,5264,9273,1058,5231
(not set),20140128,0,0,0,0,0,0,12372,19447,1418,5280
(not set),20140129,0,0,0,0,0,0,7444,13069,1377,5452
(not set),20140130,0,0,0,0,0,0,4747,9084,1140,4493
(not set),20140131,0,0,0,0,0,0,5009,9289,1017,4714
(not set),20140201,0,0,0,0,0,0,3919,7239,1066,4001
(not set),20140202,0,0,0,0,0,0,3583,6379,812,3804
(not set),20140203,0,0,0,0,0,0,4329,7936,1008,4517
(not set),20140204,0,0,0,0,0,0,4624,8051,1099,4772
(not set),20140205,0,0,0,0,0,0,4698,8650,1254,4731
(not set),20140206,0,0,0,0,0,0,5985,10634,3247,4698
(not set),20140207,0,0,0,0,0,0,4673,8018,1295,4353
(not set),20140208,0,0,0,0,0,0,4157,7461,967,4099
(not set),20140209,0,0,0,0,0,0,4411,7600,1123,4599
(not set),20140210,0,0,0,0,0,0,4944,8650,1222,5272
(not set),20140211,0,0,0,0,0,0,4681,8125,1156,4886
(not set),20140212,0,0,0,0,0,0,4575,8158,1263,4821
(not set),20140213,0,0,0,0,0,0,1795,3181,435,1812
CCL June-July 13,20130612,46905,1148,8308.77,7.24,2.45,0,0,0,0,0
CCL June-July 13,20130613,49201,1417,8201.41,5.79,2.88,0,0,0,0,0
CCL June-July 13,20130614,37634,1630,7850.05,4.82,4.33,0,0,0,0,0
CCL June-July 13,20130615,33942,1751,7861.48,4.49,5.16,0,0,0,0,0
CCL June-July 13,20130616,33082,1703,7848.03,4.61,5.15,0,0,0,0,0
CCL June-July 13,20130617,33949,1812,8409.79,4.64,5.34,0,0,0,0,0
CCL June-July 13,20130618,37439,1918,8293.25,4.32,5.12,0,0,0,0,0
CCL June-July 13,20130619,34260,1899,8168.04,4.30,5.54,0,0,0,0,0
CCL June-July 13,20130620,34108,1858,8048.52,4.33,5.45,0,0,0,0,0
CCL June-July 13,20130621,32600,1728,7806.54,4.52,5.30,0,0,0,0,0
CCL June-July 13,20130622,37060,1979,7730.85,3.91,5.34,0,0,0,0,0
CCL June-July 13,20130623,33935,1843,7688.1,4.17,5.43,0,0,0,0,0
CCL June-July 13,20130624,37873,2034,8221.88,4.04,5.37,0,0,0,0,0
CCL June-July 13,20130625,35772,2007,8148.86,4.06,5.61,0,0,0,0,0
CCL June-July 13,20130626,33760,1990,8036.23,4.04,5.89,0,0,0,0,0
CCL June-July 13,20130627,34641,2018,7856,3.89,5.83,0,0,0,0,0
CCL June-July 13,20130628,33177,2243,7537.65,3.36,6.76,0,0,0,0,0
CCL June-July 13,20130629,30473,2070,6990,3.38,6.79,0,0,0,0,0
CCL June-July 13,20130630,32201,1973,6980.32,3.54,6.13,0,0,0,0,0
CCL June-July 13,20130701,31709,2082,7892.21,3.79,6.57,0,0,0,0,0
CCL June-July 13,20130702,23475,1717,4987.35,2.90,7.31,0,0,0,0,0
CCL June-July 13,20130703,20442,1536,4732.36,3.08,7.51,0,0,0,0,0
